Date,Location,Raw,Time,Speakers,Description,Issue date
"January 14, 1910","Clock School, Whitham","Clock School , Whitham , Miss Davidson , Miss Gawthorpe , 7.30",7.30,"['Miss Davidson', 'Miss Gawthorpe']",,"January 14, 1910"
"January 14, 1910",Top of Whitham,"Top of Whit- ham , Miss Ayrton , Miss Hewitt , 7.30",7.30,"['Miss Ayrton', 'Miss Hewitt']",,"January 14, 1910"
"January 14, 1910","Leedley Reservoir, Whitham","Leedley Reservoir , Miss Smith , Miss Williamson , 7.30",7.30,"['Miss Smith', 'Miss Williamson']",,"January 14, 1910"
"January 14, 1910","Hankinson Street and Broad Street, Whitham","Hankinson Street and Broad Street , Miss McGrath , Miss Ayrton , 7.45",7.45,"['Miss McGrath', 'Miss Ayrton']",,"January 14, 1910"
"January 14, 1910","Factory Gate Meetings, Northampton","Factory Gate Meetings , Miss Corson , Miss Evans , 1",1,"['Miss Corson', 'Miss Evans']",,"January 14, 1910"
"January 14, 1910","Wolverton, L. and N.W. Works, Northampton","Wolverton , L. and N.W. Works , Miss M. Brackenbury , Miss Strangeways",,"['Miss M. Brackenbury', 'Miss Strangeways']",,"January 14, 1910"
"January 14, 1910","Market Square, Northampton","Market Square , Miss Corson Miss M. Brackenbury , Miss Strangeways ( Chair , Mis Evans ) , 7.30",7.30,"['Miss Corson', 'Miss M. Brackenbury', 'Miss Strangeways']",,"January 14, 1910"
"January 17, 1910","Factory Gate Meetings, Northampton","Monday . Factory Gate Meetings , Miss Corson , Miss Evans , Miss Brackenbury , Miss Strangeways , 1",1,"['Miss Corson', 'Miss Evans', 'Miss Brackenbury', 'Miss Strangeways']",,"January 14, 1910"
"January 17, 1910","Market Square, Northampton","Market Square , Miss M. Brackenbury , Miss Evans , 7.30",7.30,"['Miss M. Brackenbury', 'Miss Evans']",,"January 14, 1910"
"January 18, 1910","Daventry, Northampton","Tuesday . Daventry , Miss Brackenbury . Miss Strange- ways",,"['Miss Brackenbury', 'Miss Strangeways']",,"January 14, 1910"
"January 18, 1910","Wolverton, L.N.W. Works, Northampton","Wolverton , L.N.W. Works , Miss Evans , Miss Corson , 1",1,"['Miss Evans', 'Miss Corson']",,"January 14, 1910"
"January 19, 1910","Grimsbury, Northampton","Wednesday . Grimsbury , Miss Evans , Miss Corson",,"['Miss Evans', 'Miss Corson']",,"January 14, 1910"
"January 20, 1910","Towcester, Northampton","Thursday . Towcester , Miss Evans , Miss Strangeways",,"['Miss Evans', 'Miss Strangeways']",,"January 14, 1910"
"January 20, 1910","Wolverton, L.N.W. Works, Northampton","Wolverton , L.N.W. Works , Miss Corson , Miss M Backenbury , 1",1,"['Miss Corson', 'Miss M Backenbury']",,"January 14, 1910"
"January 14, 1910","Alfred Street North and Woodboro Road, Nottingham","Alfred Street North and Woodboro Road , Miss Douglas Smith , 7.30",7.30,['Miss Douglas Smith'],,"January 14, 1910"
"January 14, 1910","Alfred Street Central and St. Ann's Well Road, Nottingham","Alfred Street Central and St. Ann's Well Road , Miss Crocker , 7.30",7.30,['Miss Crocker'],,"January 14, 1910"
"January 14, 1910","Back of Baths, Sneinton Market, Nottingham","Back of Baths , Sneinton Market , Miss Masters , 7.30",7.30,['Miss Masters'],,"January 14, 1910"
"January 15, 1910","Trinity Square, Nottingham","Trinity Square , Miss Crocker and Miss Masters , 7.30",7.30,"['Miss Crocker', 'Miss Masters']",,"January 14, 1910"
"January 15, 1910","Broxtowe Street and Mansfield Road, Nottingham","Broxtowe Street and Mansfield Road , Miss Douglas Smith , 7.30",7.30,['Miss Douglas Smith'],,"January 14, 1910"
"January 17, 1910","Broad Street and Parliament Street, Nottingham","Broad Street and Parliament Street , Miss Masters , 7.50",7.50,['Miss Masters'],,"January 14, 1910"
"January 17, 1910","Alfred Street North and Wood- boro ' Road, Nottingham","Alfred Street North and Wood- boro ' Road , Miss Crocker , 730",730,['Miss Crocker'],,"January 14, 1910"
"January 17, 1910","Alfred Street South and Carlton Road, Nottingham","Alfred Street . South and Carlton Road , Miss Douglas Smith , 7.30",7.30,['Miss Douglas Smith'],,"January 14, 1910"
"January 18, 1910","Altred Street Central and St. Ann's Well Road, Nottingham","Altred Street Central and St. Ann's Well Road , Miss Masters , 7.30",7.30,['Miss Masters'],,"January 14, 1910"
"January 18, 1910","Trinity Square, Nottingham","Trinity Square , Miss Douglas Smith",,['Miss Douglas Smith'],,"January 14, 1910"
"January 19, 1910","Gaiety Theatre, Worksop","Gaiety Theatre , Worksop , Mrs. Pank- hurst , 8",8,['Mrs. Pankhurst'],,"January 14, 1910"
"January 14, 1910","Londesborough Theatre, Scarborough","Londesborough Theatre , Mrs. Pankhurst",,['Mrs. Pankhurst'],,"January 14, 1910"
"January 14, 1910","Bull Ring, Birmingham","Birmingham , Bull Ring .",7 p.m.,['Dr. Helena Jones'],,"January 14, 1910"
"January 14, 1910",Dudley,Dudley,7 p.m.,['Miss Burkitt'],,"January 14, 1910"
"January 14, 1910",Exeter,Exeter,8 p.m.,['Miss Helen Ogston'],,"January 14, 1910"
"January 14, 1910","Manchester, Onward Buildings, Deansgate","Manchester , At Home , Onward Build- ings , Deansgate .",7 p.m.,['Mrs. Bessie Smith'],,"January 14, 1910"
"January 14, 1910",Wolverhampton,Wolverhampton,7.45 p.m.,['Miss Helen Ogston'],,"January 14, 1910"
"January 15, 1910",Exeter,Exeter,Decima 3-5 p.m.,"[""Drummers' Union Entertainment""]",,"January 14, 1910"
"January 15, 1910","London, Rehearsal Theatre, Maiden Lane, Strand","London , Rehearsal Theatre , Maiden Tane , Strand",3.30 & 7.30 p.m.,['Miss Helen Ogston'],,"January 14, 1910"
"January 15, 1910",Brighton,Brighton,8 p.m.,"['Mrs. Pethick Lawrence', 'Miss Chris- Pankhurst', 'Miss tabel Moore ( Recitations )']",,"January 14, 1910"
"January 17, 1910","London, Queen's Hall","London - Queen's Hall , At Home ..",3 p.m.,['Miss Neligan'],,"January 14, 1910"
"January 17, 1910","Birmingham, Queen's College","Birmingham , At Home , Queen's College",8 p.m.,['Dr. Helena Jones'],,"January 14, 1910"
"January 18, 1910","London, West Croydon, 2 , Station Buildings","London - West Croydon , 2 , Station Buildings",3 p.m.,['Mrs. Pethick Lawrence'],,"January 14, 1910"
"January 19, 1910",Derby,"Derby , At Home",8 p.m.,['Miss Helen Ogston'],,"January 14, 1910"
"January 20, 1910","London, Brondesbury Hall",London Brondesbury Hall .,8 p.m.,"['Mrs. Pethick Lawrence', 'Miss Chris- tabel Pankhurst']",,"January 14, 1910"
"January 20, 1910","London, Highbury New Park, St. Augustine's Literary Society","London - Highbury New Park , "" St. Augustine's Literary Society",8 p.m.,['Miss Helen Ogston'],,"January 14, 1910"
"January 20, 1910","London, St. James's Hall","London - St. James's Hall , At Home",8 p.m.,['Miss Helen Ogston'],,"January 14, 1910"
January 1910,"Alan's Tea Rooms, Islington","ALAN'S TEA ROOMS , ISLINGTON",,,"A Large Room may be Engaged for Meetings , & c . No Charge to Members of the W.S.P.U.","January 14, 1910"
January 1910,"The Tea Cup Inn, Bank Buildings, Portugal Street, KINGSWAY, London","THE TEA CUP INN ( To be opened shortly by Members of the W.S.P.U. Bank Buildings , Portugal Street , KINGSWAY . ( Near Clements Inn , Lincoln's Inn , King's College Hospital , Aldwych , Three minutes ' walk Kingsway Theatre , Holborn Tube , & c . ) SOUPS , LIGHT LUNCHEONS ( Hot and Cold ) VEGETARIANS SPECIALLY CATERED FOR Afternoon Teas , Home Made Cakes , Bread and Rolls from Scotch Bakeries",,,,"January 14, 1910"
